
Sales Person,Geography,Product,Date,Amount,Boxes,
Dennison Crosswaite,Canada,Smooth Sliky Salty,19/02/2021,"$10,878 ",108,
Curtice Advani,USA,After Nines,19/02/2021,"$2,800 ",152,
Husein Augar,Australia,Baker's Choco Chips,19/02/2021,"$10,934 ",123,
Kelci Walkden,Canada,Caramel Stuffed Bars,19/02/2021,"$3,675 ",102,
Madelene Upcott,India,After Nines,19/02/2021,"$8,029 ",651,
Brien Boise,Canada,Smooth Sliky Salty,19/02/2021,$168 ,19,
Ches Bonnell,Canada,Mint Chip Choco,19/02/2021,$378 ,182,
Roddy Speechley,New Zealand,Peanut Butter Cubes,19/02/2021,"$13,363 ",980,
Marney O'Breen,Australia,Milk Bars,19/02/2021,"$1,932 ",92,
Ches Bonnell,Canada,85% Dark Bars,19/02/2021,"$4,830 ",372,
Madelene Upcott,UK,Choco Coated Almonds,19/02/2021,"$11,060 ",357,
Ches Bonnell,New Zealand,Raspberry Choco,19/02/2021,"$7,273 ",428,
Dennison Crosswaite,India,Almond Choco,19/02/2021,"$7,476 ",288,
Karlen McCaffrey,USA,White Choc,19/02/2021,"$2,898 ",264,
Mallorie Waber,USA,Spicy Special Slims,19/02/2021,"$4,984 ",161,
Wilone O'Kielt,USA,Orange Choco,22/02/2021,"$7,301 ",192,
Karlen McCaffrey,India,99% Dark & Pure,22/02/2021,"$2,058 ",205,
Andria Kimpton,Canada,Caramel Stuffed Bars,22/02/2021,"$1,960 ",67,
Husein Augar,Canada,Caramel Stuffed Bars,22/02/2021,"$1,834 ",453,
Gunar Cockshoot,India,Drinking Coco,22/02/2021,"$3,556 ",438,
Gigi Bohling,Canada,Raspberry Choco,22/02/2021,"$6,174 ",165,
Gunar Cockshoot,UK,After Nines,22/02/2021,"$5,754 ",217,
Husein Augar,Australia,Caramel Stuffed Bars,22/02/2021,"$15,792 ",259,
Barr Faughny,India,Organic Choco Syrup,22/02/2021,"$4,921 ",980,
Marney O'Breen,UK,Smooth Sliky Salty,22/02/2021,$658 ,29,
Andria Kimpton,India,Drinking Coco,22/02/2021,"$5,698 ",143,
Brien Boise,Australia,Milk Bars,22/02/2021,"$8,988 ",360,
Wilone O'Kielt,New Zealand,Smooth Sliky Salty,22/02/2021,"$3,675 ",307,
Mallorie Waber,UK,Smooth Sliky Salty,22/02/2021,"$6,398 ",640,
Andria Kimpton,Canada,Milk Bars,22/02/2021,"$6,944 ",348,
Jehu Rudeforth,Australia,Raspberry Choco,22/02/2021,"$11,333 ",840,
Brien Boise,Australia,Almond Choco,23/02/2021,"$5,551 ",354,
Dotty Strutley,Australia,Orange Choco,23/02/2021,"$6,412 ",281,
Oby Sorrel,New Zealand,Mint Chip Choco,23/02/2021,"$2,478 ",100,
Jan Morforth,Australia,70% Dark Bites,23/02/2021,"$17,206 ",522,
Ches Bonnell,Canada,Peanut Butter Cubes,23/02/2021,"$1,365 ",38,
Curtice Advani,USA,85% Dark Bars,23/02/2021,"$3,696 ",211,
Kelci Walkden,New Zealand,Manuka Honey Choco,23/02/2021,"$8,253 ",178,
Andria Kimpton,Canada,White Choc,23/02/2021,"$3,465 ",371,
Oby Sorrel,Canada,Organic Choco Syrup,23/02/2021,"$1,603 ",840,
Gunar Cockshoot,New Zealand,Orange Choco,23/02/2021,"$3,213 ",215,
Kelci Walkden,India,Milk Bars,23/02/2021,"$11,200 ",590,
Andria Kimpton,USA,Baker's Choco Chips,23/02/2021,"$5,971 ",249,
Dotty Strutley,Canada,50% Dark Bites,23/02/2021,"$3,304 ",138,
Husein Augar,Canada,Caramel Stuffed Bars,23/02/2021,"$10,815 ",416,
Jehu Rudeforth,UK,After Nines,23/02/2021,"$5,012 ",335,
Beverie Moffet,Canada,Choco Coated Almonds,23/02/2021,"$8,246 ",250,
Marney O'Breen,Australia,99% Dark & Pure,23/02/2021,"$8,190 ",410,
Mallorie Waber,New Zealand,85% Dark Bars,23/02/2021,"$5,915 ",348,
Brien Boise,Australia,Mint Chip Choco,23/02/2021,$728 ,34,
Dotty Strutley,New Zealand,Peanut Butter Cubes,23/02/2021,"$10,332 ",1470,
Andria Kimpton,USA,Fruit & Nut Bars,23/02/2021,"$7,217 ",401,
Gunar Cockshoot,New Zealand,Mint Chip Choco,24/02/2021,"$10,143 ",381,
Andria Kimpton,UK,Drinking Coco,24/02/2021,"$2,478 ",446,
Barr Faughny,Australia,White Choc,24/02/2021,"$3,899 ",271,
Dotty Strutley,USA,Almond Choco,24/02/2021,"$4,900 ",579,
Dennison Crosswaite,New Zealand,Orange Choco,24/02/2021,"$8,729 ",103,
Brien Boise,India,Smooth Sliky Salty,24/02/2021,$392 ,244,
Curtice Advani,India,Drinking Coco,24/02/2021,"$7,021 ",213,
Rafaelita Blaksland,India,Milk Bars,24/02/2021,"$5,978 ",326,
Wilone O'Kielt,Canada,Eclairs,24/02/2021,"$2,072 ",101,
Kelci Walkden,UK,Eclairs,24/02/2021,"$2,121 ",134,
Ches Bonnell,USA,Caramel Stuffed Bars,24/02/2021,"$5,831 ",40,
Jan Morforth,New Zealand,70% Dark Bites,24/02/2021,"$2,093 ",264,
Wilone O'Kielt,New Zealand,Drinking Coco,24/02/2021,"$3,122 ",9,
Kaine Padly,USA,White Choc,24/02/2021,"$6,573 ",22,
Dotty Strutley,UK,Eclairs,24/02/2021,$700 ,217,
Andria Kimpton,New Zealand,99% Dark & Pure,24/02/2021,"$1,057 ",95,
Barr Faughny,USA,Fruit & Nut Bars,24/02/2021,"$3,486 ",150,
Kelci Walkden,New Zealand,Drinking Coco,24/02/2021,"$2,954 ",33,
Brien Boise,UK,85% Dark Bars,24/02/2021,"$7,987 ",318,
Gigi Bohling,USA,70% Dark Bites,24/02/2021,"$1,967 ",20,
Marney O'Breen,USA,Manuka Honey Choco,24/02/2021,"$2,163 ",209,
Madelene Upcott,Canada,Raspberry Choco,24/02/2021,"$1,561 ",118,
Husein Augar,New Zealand,Mint Chip Choco,24/02/2021,"$2,772 ",386,
Gunar Cockshoot,USA,Baker's Choco Chips,24/02/2021,"$8,834 ",127,
Gunar Cockshoot,USA,50% Dark Bites,24/02/2021,"$1,631 ",86,
Oby Sorrel,Australia,Spicy Special Slims,24/02/2021,"$4,606 ",290,
Ches Bonnell,Canada,Manuka Honey Choco,24/02/2021,"$3,199 ",180,
Gigi Bohling,Australia,Drinking Coco,24/02/2021,"$3,423 ",19,
Gunar Cockshoot,New Zealand,Spicy Special Slims,24/02/2021,"$1,421 ",518,
Rafaelita Blaksland,USA,Manuka Honey Choco,24/02/2021,"$5,530 ",87,
Brien Boise,UK,Milk Bars,24/02/2021,$546 ,910,
Beverie Moffet,India,Baker's Choco Chips,24/02/2021,"$11,921 ",486,
Gunar Cockshoot,USA,Caramel Stuffed Bars,24/02/2021,"$3,934 ",296,
Van Tuxwell,Canada,Peanut Butter Cubes,24/02/2021,"$11,424 ",2310,
Beverie Moffet,USA,Fruit & Nut Bars,24/02/2021,"$4,753 ",280,
Van Tuxwell,New Zealand,After Nines,24/02/2021,"$12,796 ",770,
Roddy Speechley,New Zealand,Drinking Coco,24/02/2021,"$10,045 ",305,
Rafaelita Blaksland,UK,Spicy Special Slims,24/02/2021,"$4,935 ",198,
Dotty Strutley,USA,70% Dark Bites,24/02/2021,"$16,401 ",566,
Marney O'Breen,India,70% Dark Bites,25/02/2021,"$2,527 ",250,
Oby Sorrel,India,Choco Coated Almonds,25/02/2021,"$8,162 ",301,
Dotty Strutley,New Zealand,Fruit & Nut Bars,25/02/2021,"$3,325 ",369,
Jan Morforth,UK,Manuka Honey Choco,25/02/2021,"$3,787 ",103,
Karlen McCaffrey,Canada,Drinking Coco,25/02/2021,$854 ,135,
Andria Kimpton,New Zealand,70% Dark Bites,25/02/2021,"$2,303 ",477,
Madelene Upcott,Canada,Fruit & Nut Bars,25/02/2021,"$3,724 ",383,
Jan Morforth,New Zealand,Raspberry Choco,25/02/2021,"$4,942 ",345,
Curtice Advani,Canada,99% Dark & Pure,25/02/2021,"$1,575 ",381,
Oby Sorrel,New Zealand,Choco Coated Almonds,25/02/2021,"$8,155 ",105,
Ches Bonnell,UK,Milk Bars,25/02/2021,"$8,316 ",238,
Andria Kimpton,Australia,Spicy Special Slims,25/02/2021,$189 ,2,
Madelene Upcott,New Zealand,After Nines,25/02/2021,"$13,433 ",82,
Kaine Padly,UK,Caramel Stuffed Bars,25/02/2021,"$1,449 ",125,
Husein Augar,UK,Drinking Coco,25/02/2021,"$6,832 ",43,
Dennison Crosswaite,USA,Peanut Butter Cubes,25/02/2021,$735 ,25,
Beverie Moffet,USA,Peanut Butter Cubes,25/02/2021,"$7,483 ",309,
Kelci Walkden,UK,Caramel Stuffed Bars,25/02/2021,$966 ,371,
Kaine Padly,USA,85% Dark Bars,25/02/2021,"$1,113 ",118,
Gunar Cockshoot,USA,70% Dark Bites,25/02/2021,"$2,730 ",64,
Karlen McCaffrey,USA,50% Dark Bites,25/02/2021,"$6,706 ",41,
Karlen McCaffrey,New Zealand,Organic Choco Syrup,25/02/2021,"$4,970 ",98,
Madelene Upcott,UK,Organic Choco Syrup,25/02/2021,"$6,867 ",348,
Dennison Crosswaite,UK,Raspberry Choco,25/02/2021,"$2,093 ",146,
Kaine Padly,Canada,After Nines,25/02/2021,"$4,753 ",770,
Gigi Bohling,New Zealand,Smooth Sliky Salty,25/02/2021,"$1,141 ",72,
Roddy Speechley,New Zealand,70% Dark Bites,25/02/2021,"$5,453 ",166,
Dennison Crosswaite,New Zealand,Peanut Butter Cubes,25/02/2021,"$2,884 ",206,
Beverie Moffet,UK,Orange Choco,25/02/2021,"$12,005 ",700,
Mallorie Waber,USA,Baker's Choco Chips,25/02/2021,"$3,444 ",138,
Dennison Crosswaite,UK,After Nines,26/02/2021,"$4,270 ",288,
Husein Augar,India,Milk Bars,26/02/2021,"$9,219 ",156,
Gigi Bohling,Canada,Organic Choco Syrup,26/02/2021,"$2,870 ",466,
Ches Bonnell,India,Smooth Sliky Salty,26/02/2021,"$4,718 ",347,
Beverie Moffet,India,70% Dark Bites,26/02/2021,"$5,908 ",24,
Dennison Crosswaite,USA,70% Dark Bites,26/02/2021,$602 ,147,
Brien Boise,UK,Fruit & Nut Bars,26/02/2021,"$1,071 ",48,
Roddy Speechley,India,Caramel Stuffed Bars,26/02/2021,"$11,361 ",669,
Husein Augar,New Zealand,White Choc,26/02/2021,"$5,635 ",434,
Dennison Crosswaite,USA,Orange Choco,26/02/2021,"$11,445 ",910,
Brien Boise,Australia,Peanut Butter Cubes,26/02/2021,"$1,925 ",214,
Barr Faughny,Canada,Peanut Butter Cubes,26/02/2021,$630 ,63,
Mallorie Waber,India,Milk Bars,26/02/2021,"$10,836 ",452,
Curtice Advani,Canada,Smooth Sliky Salty,26/02/2021,"$7,798 ",488,
Mallorie Waber,Canada,Baker's Choco Chips,26/02/2021,"$2,226 ",106,
Dotty Strutley,UK,99% Dark & Pure,26/02/2021,"$2,849 ",179,
Gunar Cockshoot,New Zealand,Eclairs,26/02/2021,"$7,182 ",313,
Dennison Crosswaite,USA,Organic Choco Syrup,26/02/2021,"$6,020 ",215,
Gunar Cockshoot,India,Smooth Sliky Salty,26/02/2021,"$6,153 ",513,
Dotty Strutley,USA,Caramel Stuffed Bars,26/02/2021,$833 ,49,
Kelci Walkden,Australia,Milk Bars,01/03/2021,"$6,181 ",425,
Oby Sorrel,USA,White Choc,01/03/2021,"$2,639 ",634,
Rafaelita Blaksland,Canada,Smooth Sliky Salty,01/03/2021,"$6,804 ",35,
Curtice Advani,Canada,Eclairs,01/03/2021,"$1,855 ",230,
Madelene Upcott,USA,Milk Bars,01/03/2021,$483 ,129,
Marney O'Breen,Canada,Organic Choco Syrup,01/03/2021,"$3,346 ",7,
Dotty Strutley,UK,Caramel Stuffed Bars,01/03/2021,"$9,639 ",65,
Oby Sorrel,Canada,Raspberry Choco,01/03/2021,$987 ,675,
Dennison Crosswaite,India,White Choc,01/03/2021,"$2,688 ",210,
Jan Morforth,USA,Milk Bars,01/03/2021,$707 ,553,
Barr Faughny,Canada,Orange Choco,01/03/2021,"$4,921 ",144,
Madelene Upcott,New Zealand,Orange Choco,01/03/2021,"$1,085 ",246,
Jan Morforth,USA,Orange Choco,01/03/2021,"$5,187 ",40,
Barr Faughny,Australia,Smooth Sliky Salty,01/03/2021,"$12,684 ",62,
Gigi Bohling,Canada,99% Dark & Pure,01/03/2021,"$10,073 ",286,
Gigi Bohling,India,Manuka Honey Choco,01/03/2021,"$4,459 ",69,
Gunar Cockshoot,Australia,After Nines,01/03/2021,$35 ,214,
Gigi Bohling,USA,Manuka Honey Choco,01/03/2021,"$4,515 ",359,
Jan Morforth,New Zealand,Caramel Stuffed Bars,01/03/2021,"$1,764 ",35,
Karlen McCaffrey,USA,After Nines,01/03/2021,"$4,312 ",131,
Curtice Advani,Canada,Milk Bars,01/03/2021,"$3,605 ",565,
Kelci Walkden,USA,70% Dark Bites,01/03/2021,"$7,658 ",212,
Curtice Advani,Australia,Drinking Coco,01/03/2021,"$4,662 ",467,
Beverie Moffet,USA,99% Dark & Pure,01/03/2021,$679 ,29,
Barr Faughny,Australia,Organic Choco Syrup,01/03/2021,"$7,728 ",235,
Van Tuxwell,Canada,Mint Chip Choco,01/03/2021,"$4,774 ",217,
Gigi Bohling,Australia,White Choc,01/03/2021,"$2,807 ",562,
Husein Augar,USA,Milk Bars,01/03/2021,"$11,767 ",561,
Mallorie Waber,UK,Organic Choco Syrup,01/03/2021,"$6,804 ",252,
Beverie Moffet,UK,Baker's Choco Chips,02/03/2021,"$6,020 ",115,
Dotty Strutley,New Zealand,Drinking Coco,02/03/2021,$7 ,76,
Jan Morforth,USA,70% Dark Bites,02/03/2021,$77 ,441,
Kelci Walkden,USA,99% Dark & Pure,02/03/2021,"$2,569 ",13,
Beverie Moffet,UK,85% Dark Bars,02/03/2021,"$4,249 ",121,
Ches Bonnell,UK,Orange Choco,02/03/2021,"$2,541 ",224,
Kelci Walkden,Australia,Raspberry Choco,02/03/2021,"$2,303 ",558,
Karlen McCaffrey,New Zealand,Spicy Special Slims,02/03/2021,"$11,956 ",630,
Barr Faughny,India,Spicy Special Slims,02/03/2021,"$10,094 ",337,
Jehu Rudeforth,India,Milk Bars,02/03/2021,"$3,577 ",179,
Brien Boise,New Zealand,Eclairs,02/03/2021,"$8,470 ",385,
Husein Augar,Canada,Organic Choco Syrup,02/03/2021,"$3,829 ",160,
Marney O'Breen,New Zealand,Raspberry Choco,02/03/2021,"$8,463 ",565,
Madelene Upcott,UK,Caramel Stuffed Bars,02/03/2021,"$1,526 ",70,
Kaine Padly,India,Fruit & Nut Bars,02/03/2021,"$2,989 ",167,
Brien Boise,UK,85% Dark Bars,02/03/2021,"$1,085 ",121,
Jan Morforth,UK,After Nines,02/03/2021,"$5,572 ",279,
Brien Boise,Canada,Fruit & Nut Bars,02/03/2021,$889 ,60,
Kelci Walkden,Canada,Smooth Sliky Salty,02/03/2021,"$1,764 ",98,
Camilla Castle,India,99% Dark & Pure,02/03/2021,"$7,042 ",321,
Camilla Castle,USA,85% Dark Bars,02/03/2021,"$3,143 ",393,
Andria Kimpton,India,Caramel Stuffed Bars,03/03/2021,"$4,228 ",56,
Brien Boise,New Zealand,Choco Coated Almonds,03/03/2021,"$4,830 ",19,
Dotty Strutley,India,70% Dark Bites,03/03/2021,"$15,036 ",1120,
Rafaelita Blaksland,USA,Smooth Sliky Salty,03/03/2021,$133 ,374,
Dotty Strutley,Canada,Eclairs,03/03/2021,"$13,034 ",374,
Andria Kimpton,New Zealand,Fruit & Nut Bars,03/03/2021,$686 ,387,
Ches Bonnell,Australia,Choco Coated Almonds,03/03/2021,$903 ,35,
Van Tuxwell,India,Organic Choco Syrup,03/03/2021,"$4,368 ",182,
Camilla Castle,Australia,Peanut Butter Cubes,03/03/2021,"$2,226 ",172,
Mallorie Waber,Australia,Spicy Special Slims,03/03/2021,"$1,190 ",43,
Madelene Upcott,India,Raspberry Choco,03/03/2021,"$3,773 ",343,
Marney O'Breen,New Zealand,Peanut Butter Cubes,03/03/2021,"$6,671 ",668,
Brien Boise,Australia,Choco Coated Almonds,03/03/2021,"$10,318 ",397,
Jehu Rudeforth,UK,Drinking Coco,03/03/2021,"$14,896 ",621,
Kaine Padly,UK,Fruit & Nut Bars,03/03/2021,"$4,606 ",355,
Andria Kimpton,UK,Fruit & Nut Bars,03/03/2021,"$3,892 ",260,
Karlen McCaffrey,New Zealand,Almond Choco,04/03/2021,"$3,556 ",546,
Wilone O'Kielt,Canada,85% Dark Bars,04/03/2021,"$1,057 ",309,
Dennison Crosswaite,UK,Milk Bars,04/03/2021,"$11,305 ",97,
Barr Faughny,Canada,Peanut Butter Cubes,04/03/2021,"$2,303 ",163,
Marney O'Breen,Canada,Manuka Honey Choco,04/03/2021,"$1,785 ",82,
Dotty Strutley,UK,99% Dark & Pure,04/03/2021,"$1,694 ",180,
Oby Sorrel,Canada,Fruit & Nut Bars,04/03/2021,"$4,508 ",69,
Gigi Bohling,New Zealand,Peanut Butter Cubes,04/03/2021,"$13,293 ",517,
Jan Morforth,UK,Orange Choco,04/03/2021,"$2,275 ",349,
Rafaelita Blaksland,Canada,Manuka Honey Choco,04/03/2021,$504 ,604,
Oby Sorrel,Canada,70% Dark Bites,04/03/2021,"$6,664 ",213,
Andria Kimpton,Australia,Baker's Choco Chips,04/03/2021,"$3,164 ",594,
Marney O'Breen,Australia,85% Dark Bars,04/03/2021,"$6,804 ",190,
Kaine Padly,USA,Orange Choco,04/03/2021,"$2,555 ",165,
Madelene Upcott,USA,Almond Choco,04/03/2021,"$2,681 ",328,
Dennison Crosswaite,Australia,Mint Chip Choco,04/03/2021,"$4,025 ",448,
Rafaelita Blaksland,Australia,Choco Coated Almonds,04/03/2021,"$2,828 ",300,
Dennison Crosswaite,UK,Caramel Stuffed Bars,04/03/2021,"$5,208 ",222,
Brien Boise,UK,Orange Choco,04/03/2021,"$7,455 ",654,
Kelci Walkden,Canada,99% Dark & Pure,04/03/2021,"$1,638 ",88,
Karlen McCaffrey,New Zealand,Orange Choco,04/03/2021,"$7,518 ",418,
Kaine Padly,New Zealand,Fruit & Nut Bars,04/03/2021,$406 ,32,
Jan Morforth,New Zealand,Spicy Special Slims,04/03/2021,"$5,383 ",200,
Dotty Strutley,New Zealand,Fruit & Nut Bars,04/03/2021,"$2,583 ",162,
Camilla Castle,India,After Nines,04/03/2021,$98 ,8,
Van Tuxwell,UK,White Choc,04/03/2021,"$6,258 ",1050,
Marney O'Breen,India,Fruit & Nut Bars,05/03/2021,"$5,089 ",17,
Gigi Bohling,UK,Smooth Sliky Salty,05/03/2021,"$4,718 ",9,
Dotty Strutley,New Zealand,Baker's Choco Chips,05/03/2021,"$2,044 ",32,
Kaine Padly,Canada,70% Dark Bites,05/03/2021,"$7,133 ",182,
Curtice Advani,New Zealand,Milk Bars,05/03/2021,"$7,329 ",465,
Jan Morforth,UK,70% Dark Bites,05/03/2021,"$11,466 ",508,
Jan Morforth,USA,Drinking Coco,05/03/2021,"$11,340 ",142,
Wilone O'Kielt,USA,Choco Coated Almonds,05/03/2021,"$6,048 ",252,
Andria Kimpton,Canada,Raspberry Choco,05/03/2021,"$7,672 ",480,
Barr Faughny,India,After Nines,05/03/2021,"$1,071 ",77,
Gunar Cockshoot,UK,Choco Coated Almonds,05/03/2021,"$12,502 ",464,
Madelene Upcott,India,Orange Choco,05/03/2021,$665 ,37,
Gunar Cockshoot,UK,Baker's Choco Chips,05/03/2021,"$3,556 ",162,
Beverie Moffet,USA,Smooth Sliky Salty,05/03/2021,$903 ,76,
Barr Faughny,India,50% Dark Bites,08/03/2021,"$2,905 ",7,
Kelci Walkden,UK,Milk Bars,08/03/2021,"$11,480 ",770,
Kaine Padly,Canada,50% Dark Bites,08/03/2021,"$6,699 ",236,
Husein Augar,Canada,Eclairs,08/03/2021,"$4,165 ",289,
Andria Kimpton,Australia,Milk Bars,08/03/2021,"$7,616 ",700,
Karlen McCaffrey,New Zealand,Eclairs,08/03/2021,"$4,361 ",352,
Brien Boise,Canada,99% Dark & Pure,08/03/2021,"$9,408 ",51,
Ches Bonnell,Canada,After Nines,08/03/2021,"$1,379 ",69,
Dennison Crosswaite,USA,Choco Coated Almonds,08/03/2021,"$2,128 ",29,
Rafaelita Blaksland,New Zealand,Drinking Coco,08/03/2021,"$5,054 ",45,
Ches Bonnell,USA,Baker's Choco Chips,08/03/2021,"$3,311 ",11,
Madelene Upcott,Canada,Orange Choco,08/03/2021,"$1,820 ",292,
Madelene Upcott,UK,Caramel Stuffed Bars,08/03/2021,"$1,092 ",75,
Husein Augar,UK,Choco Coated Almonds,08/03/2021,$154 ,1,
Andria Kimpton,USA,70% Dark Bites,08/03/2021,"$5,831 ",309,
Curtice Advani,USA,Milk Bars,08/03/2021,"$2,870 ",325,
Gunar Cockshoot,Canada,Raspberry Choco,08/03/2021,"$3,038 ",424,
Karlen McCaffrey,UK,Spicy Special Slims,08/03/2021,"$4,529 ",334,
Curtice Advani,Australia,70% Dark Bites,08/03/2021,"$4,543 ",557,
Brien Boise,USA,Spicy Special Slims,08/03/2021,$266 ,539,
Marney O'Breen,Canada,Smooth Sliky Salty,08/03/2021,"$2,646 ",288,
Kaine Padly,USA,Mint Chip Choco,08/03/2021,"$9,240 ",484,
Dotty Strutley,Australia,Peanut Butter Cubes,08/03/2021,"$6,293 ",388,
Curtice Advani,Canada,Almond Choco,08/03/2021,"$2,408 ",88,
Dotty Strutley,New Zealand,After Nines,08/03/2021,$427 ,24,
Jan Morforth,UK,Organic Choco Syrup,08/03/2021,"$6,146 ",228,
Mallorie Waber,India,85% Dark Bars,08/03/2021,$763 ,70,
Ches Bonnell,Canada,Peanut Butter Cubes,08/03/2021,"$3,584 ",598,
Camilla Castle,USA,70% Dark Bites,08/03/2021,$140 ,5,
Oby Sorrel,Australia,Choco Coated Almonds,09/03/2021,"$1,540 ",146,
Ches Bonnell,UK,50% Dark Bites,09/03/2021,"$4,123 ",367,
Kelci Walkden,Australia,50% Dark Bites,09/03/2021,"$7,413 ",17,
Barr Faughny,Australia,Raspberry Choco,09/03/2021,"$4,865 ",205,
Gunar Cockshoot,New Zealand,99% Dark & Pure,09/03/2021,"$11,417 ",343,
Rafaelita Blaksland,New Zealand,Organic Choco Syrup,09/03/2021,"$8,442 ",38,
Karlen McCaffrey,USA,70% Dark Bites,09/03/2021,"$10,416 ",54,
Husein Augar,USA,85% Dark Bars,09/03/2021,$546 ,88,
Oby Sorrel,UK,85% Dark Bars,09/03/2021,"$2,772 ",492,
Beverie Moffet,Canada,Eclairs,09/03/2021,"$2,247 ",405,
Ches Bonnell,India,Peanut Butter Cubes,09/03/2021,"$5,131 ",92,
Gunar Cockshoot,UK,Spicy Special Slims,09/03/2021,"$3,451 ",1680,
Karlen McCaffrey,UK,85% Dark Bars,09/03/2021,"$7,357 ",237,
Curtice Advani,USA,Smooth Sliky Salty,09/03/2021,"$8,323 ",641,
Jehu Rudeforth,New Zealand,99% Dark & Pure,09/03/2021,"$6,384 ",256,
Ches Bonnell,India,Peanut Butter Cubes,09/03/2021,"$2,212 ",222,
Madelene Upcott,Canada,Spicy Special Slims,09/03/2021,$315 ,12,
Jan Morforth,New Zealand,Manuka Honey Choco,09/03/2021,"$1,316 ",83,
Curtice Advani,USA,White Choc,09/03/2021,$966 ,81,
Dotty Strutley,India,99% Dark & Pure,09/03/2021,"$11,627 ",466,
Wilone O'Kielt,USA,Spicy Special Slims,09/03/2021,"$1,470 ",57,
Barr Faughny,USA,Orange Choco,09/03/2021,"$1,652 ",118,
Roddy Speechley,Canada,85% Dark Bars,09/03/2021,"$7,455 ",497,
Dotty Strutley,New Zealand,50% Dark Bites,09/03/2021,"$16,583 ",553,
Kelci Walkden,UK,Fruit & Nut Bars,09/03/2021,"$9,877 ",770,
Oby Sorrel,USA,50% Dark Bites,09/03/2021,"$1,694 ",74,
Jehu Rudeforth,India,Eclairs,09/03/2021,"$12,719 ",509,
Oby Sorrel,New Zealand,Raspberry Choco,10/03/2021,$917 ,627,
Gunar Cockshoot,USA,99% Dark & Pure,10/03/2021,$917 ,132,
Beverie Moffet,Australia,Peanut Butter Cubes,10/03/2021,"$8,414 ",21,
Kelci Walkden,India,Mint Chip Choco,10/03/2021,"$3,136 ",770,
Beverie Moffet,New Zealand,Smooth Sliky Salty,10/03/2021,"$7,987 ",187,
Oby Sorrel,Australia,85% Dark Bars,10/03/2021,"$14,140 ",82,
Madelene Upcott,Canada,Drinking Coco,10/03/2021,"$10,276 ",104,
Kelci Walkden,Australia,White Choc,10/03/2021,"$6,657 ",488,
Ches Bonnell,Canada,Orange Choco,10/03/2021,"$1,414 ",252,
Gunar Cockshoot,UK,Fruit & Nut Bars,10/03/2021,"$1,232 ",36,
Andria Kimpton,New Zealand,White Choc,10/03/2021,"$8,603 ",432,
Husein Augar,India,White Choc,10/03/2021,$448 ,287,
Kelci Walkden,UK,50% Dark Bites,10/03/2021,"$4,242 ",84,
Brien Boise,India,85% Dark Bars,10/03/2021,"$6,062 ",599,
Wilone O'Kielt,Canada,50% Dark Bites,10/03/2021,"$10,080 ",542,
Dotty Strutley,USA,White Choc,10/03/2021,"$4,802 ",20,
Dennison Crosswaite,Canada,Raspberry Choco,10/03/2021,"$1,533 ",136,
Jan Morforth,Australia,White Choc,10/03/2021,"$8,848 ",300,
Madelene Upcott,USA,70% Dark Bites,10/03/2021,"$3,878 ",501,
Barr Faughny,New Zealand,Choco Coated Almonds,10/03/2021,"$12,614 ",29,
Madelene Upcott,New Zealand,White Choc,10/03/2021,"$4,382 ",77,
Curtice Advani,Australia,Fruit & Nut Bars,10/03/2021,"$9,877 ",90,
Brien Boise,New Zealand,Baker's Choco Chips,10/03/2021,"$2,121 ",244,
Madelene Upcott,USA,Orange Choco,10/03/2021,"$4,998 ",463,
Ches Bonnell,India,Eclairs,10/03/2021,"$5,796 ",1120,
Rafaelita Blaksland,USA,Eclairs,10/03/2021,"$8,701 ",542,
Ches Bonnell,Australia,50% Dark Bites,10/03/2021,"$4,242 ",613,
Dotty Strutley,UK,Choco Coated Almonds,10/03/2021,"$3,535 ",18,
Dotty Strutley,India,85% Dark Bars,10/03/2021,"$2,877 ",18,
Rafaelita Blaksland,India,Almond Choco,10/03/2021,"$12,705 ",399,
Husein Augar,Canada,Choco Coated Almonds,10/03/2021,"$5,390 ",61,
Husein Augar,UK,Raspberry Choco,10/03/2021,"$7,210 ",15,
Brien Boise,India,70% Dark Bites,10/03/2021,"$6,006 ",700,
Gigi Bohling,Canada,Peanut Butter Cubes,10/03/2021,"$3,080 ",36,
Wilone O'Kielt,Canada,Organic Choco Syrup,10/03/2021,"$5,271 ",171,
Barr Faughny,Canada,Almond Choco,10/03/2021,"$11,242 ",363,
Ches Bonnell,Canada,99% Dark & Pure,10/03/2021,$924 ,41,
Marney O'Breen,Australia,Mint Chip Choco,10/03/2021,"$1,694 ",71,
Gunar Cockshoot,New Zealand,Organic Choco Syrup,11/03/2021,"$3,640 ",96,
Kaine Padly,India,After Nines,11/03/2021,"$3,906 ",556,
Barr Faughny,UK,50% Dark Bites,11/03/2021,$210 ,56,
Brien Boise,USA,Peanut Butter Cubes,11/03/2021,"$3,178 ",4,
Oby Sorrel,UK,Spicy Special Slims,11/03/2021,"$3,241 ",181,
Madelene Upcott,Australia,Baker's Choco Chips,11/03/2021,"$15,134 ",637,
Husein Augar,USA,Mint Chip Choco,11/03/2021,"$9,877 ",159,
Jan Morforth,Canada,70% Dark Bites,11/03/2021,"$3,178 ",331,
Rafaelita Blaksland,UK,Choco Coated Almonds,11/03/2021,"$1,183 ",399,
Andria Kimpton,Australia,Organic Choco Syrup,11/03/2021,"$7,924 ",100,
